renset,learningRate,batchsize,,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50
classic,0.1,16,loss,0.292690,0.287702,0.287668,0.287690,0.287697,0.287732,0.287724,0.287685,0.287689,0.287728,0.287718,0.287730,0.287722,0.287700,0.287667,0.287713,0.287736,0.287680,0.287691,0.287672,0.287708,0.287778,0.287711,0.287679,0.287699,0.287727,0.287702,0.287705,0.287708,0.287754,0.287680,0.287678,0.287720,0.287728,0.287730,0.287757,0.287706,0.287712,0.287684,0.287717,0.287711,0.287710,0.287726,0.287745,0.287707,0.287738,0.287728,0.287683,0.287700,0.287684
classic,0.1,16,accuracy,0.322083,0.320348,0.340931,0.323448,0.319434,0.322824,0.327683,0.331837,0.342389,0.321493,0.331629,0.330194,0.326306,0.337911,0.327105,0.318300,0.319838,0.329511,0.312514,0.323796,0.320729,0.312630,0.331467,0.322349,0.317200,0.320463,0.321586,0.326885,0.328412,0.313417,0.334301,0.338837,0.332196,0.310686,0.328308,0.311913,0.330067,0.316275,0.334891,0.330263,0.316518,0.330078,0.326931,0.319908,0.329951,0.328354,0.325543,0.332994,0.330946,0.333225
classic,0.1,16,val_loss,0.288890,0.288905,0.288938,0.288976,0.288929,0.289080,0.288919,0.288909,0.288892,0.289036,0.289081,0.289235,0.289051,0.289064,0.288921,0.288946,0.289053,0.288910,0.288969,0.288925,0.288879,0.288937,0.288905,0.288946,0.289118,0.288920,0.288943,0.288901,0.288971,0.288952,0.288930,0.288910,0.288946,0.289088,0.289180,0.289038,0.288956,0.288982,0.288950,0.288969,0.289110,0.288954,0.288953,0.288937,0.288875,0.288937,0.288905,0.288986,0.288896,0.288893
classic,0.1,16,val_accuracy,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.226045,0.349658,0.226045,0.226045,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.349658,0.226045,0.349658,0.226045,0.349658,0.349658,0.349658,0.349658,0.349658,0.284684,0.349658,0.226045,0.226045,0.349658,0.226045,0.349658,0.226045,0.349658,0.349658
classic,0.01,16,loss,0.472625,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611,0.472611
classic,0.01,16,accuracy,0.215682,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636,0.215636
classic,0.01,16,val_loss,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678,0.473678
classic,0.01,16,val_accuracy,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166,0.217166
classic,0.001,16,loss,0.298007,0.277520,0.275668,0.274660,0.273968,0.273489,0.273073,0.272661,0.272281,0.271865,0.271607,0.271177,0.271065,0.270754,0.270438,0.270335,0.269957,0.269845,0.269467,0.269236,0.269025,0.268782,0.268665,0.268488,0.268395,0.268073,0.267779,0.267551,0.267527,0.267479,0.267225,0.266994,0.266931,0.266834,0.266607,0.266418,0.266464,0.266426,0.266047,0.265914,0.266135,0.266217,0.265843,0.265536,0.265510,0.265418,0.265292,0.265145,0.265230,0.265107
classic,0.001,16,accuracy,0.360624,0.430613,0.462790,0.475945,0.482783,0.486486,0.492896,0.496286,0.498936,0.505693,0.508203,0.513688,0.513630,0.516152,0.522770,0.524217,0.526843,0.527468,0.533276,0.536447,0.535775,0.540172,0.540542,0.544233,0.545402,0.547855,0.553536,0.557053,0.555283,0.556012,0.559171,0.562457,0.565025,0.566182,0.568566,0.573252,0.571308,0.569214,0.577024,0.577764,0.574432,0.569954,0.577683,0.584012,0.582890,0.584926,0.586465,0.589334,0.586083,0.588432
classic,0.001,16,val_loss,0.279713,0.277546,0.276196,0.276493,0.275369,0.275237,0.274891,0.274946,0.274390,0.274575,0.274302,0.274042,0.274101,0.273858,0.274482,0.273631,0.273979,0.273682,0.274691,0.274415,0.273688,0.273786,0.273983,0.273710,0.273900,0.273832,0.274002,0.274001,0.273754,0.274067,0.274120,0.273879,0.273844,0.273695,0.273640,0.273541,0.273524,0.273835,0.273694,0.274482,0.273683,0.273958,0.273982,0.273659,0.274048,0.274159,0.274086,0.274828,0.273963,0.274048
classic,0.001,16,val_accuracy,0.412736,0.442333,0.464623,0.459582,0.484785,0.475999,0.492555,0.482658,0.494358,0.490057,0.502867,0.489364,0.492000,0.495514,0.502913,0.509249,0.508370,0.508093,0.496578,0.500324,0.503746,0.499491,0.500925,0.500231,0.491167,0.504116,0.480161,0.507954,0.495098,0.503006,0.494173,0.492462,0.503052,0.499769,0.505549,0.507492,0.501572,0.501572,0.500000,0.483028,0.507908,0.500416,0.506428,0.506567,0.490520,0.487190,0.493988,0.493849,0.510590,0.494219
classic,0.0001,16,loss,0.332222,0.283332,0.279618,0.278306,0.277506,0.276954,0.276557,0.276321,0.275913,0.275759,0.275600,0.275401,0.275139,0.274948,0.274869,0.274798,0.274601,0.274572,0.274389,0.274280,0.274188,0.274106,0.273953,0.273859,0.273693,0.273696,0.273612,0.273424,0.273399,0.273282,0.273147,0.273202,0.273076,0.273024,0.272827,0.272791,0.272817,0.272657,0.272612,0.272568,0.272463,0.272314,0.272207,0.272117,0.272028,0.272038,0.271986,0.271831,0.271788,0.271776
classic,0.0001,16,accuracy,0.304415,0.368376,0.392570,0.410064,0.420952,0.428484,0.432881,0.430914,0.440482,0.441200,0.441489,0.444786,0.451983,0.454887,0.452781,0.454644,0.457734,0.454112,0.459145,0.461205,0.461644,0.461448,0.465058,0.465081,0.468228,0.466793,0.466423,0.471861,0.470264,0.471155,0.475216,0.469547,0.473643,0.472648,0.476466,0.476489,0.474568,0.475968,0.478283,0.475482,0.478803,0.481326,0.481881,0.484126,0.485202,0.482714,0.482448,0.486891,0.486590,0.484484
classic,0.0001,16,val_loss,0.287425,0.282249,0.279901,0.279140,0.278514,0.278373,0.277783,0.277763,0.277250,0.277002,0.276851,0.277040,0.276792,0.276803,0.276805,0.276457,0.276336,0.276462,0.276289,0.276347,0.276113,0.276044,0.276648,0.275977,0.276307,0.275952,0.275799,0.275789,0.275779,0.275832,0.276151,0.275614,0.276208,0.275674,0.275596,0.275828,0.275497,0.275611,0.275711,0.275814,0.275376,0.275387,0.275415,0.275377,0.275688,0.275491,0.275442,0.275613,0.275790,0.275283
classic,0.0001,16,val_accuracy,0.341056,0.398354,0.395440,0.418285,0.424343,0.434147,0.419210,0.447327,0.435627,0.451165,0.448714,0.435442,0.445616,0.459304,0.449316,0.455235,0.454079,0.444367,0.446911,0.463374,0.458703,0.458148,0.435026,0.453015,0.456900,0.463605,0.459906,0.459397,0.457593,0.462403,0.461709,0.469663,0.432714,0.460044,0.466287,0.469756,0.464114,0.458380,0.457455,0.465733,0.467027,0.461108,0.468507,0.462079,0.453385,0.440807,0.465733,0.466889,0.441500,0.472253
classic,1e-05,16,loss,0.463180,0.462207,0.462039,0.461828,0.451664,0.451538,0.451532,0.451520,0.451516,0.451511,0.451510,0.451508,0.451507,0.451501,0.451500,0.451506,0.451505,0.451496,0.451494,0.451503,0.451500,0.451494,0.451492,0.451497,0.451507,0.451483,0.450840,0.450189,0.450176,0.450150,0.450144,0.450139,0.450147,0.450125,0.450128,0.450123,0.450117,0.450124,0.450115,0.450111,0.450109,0.450108,0.450104,0.450105,0.450110,0.450104,0.450101,0.450103,0.450101,0.450096
classic,1e-05,16,accuracy,0.357384,0.357164,0.357384,0.357338,0.371546,0.372217,0.372194,0.372402,0.372460,0.372495,0.372426,0.372356,0.372530,0.372634,0.372622,0.372715,0.372495,0.372680,0.372773,0.372518,0.372599,0.372761,0.372669,0.372669,0.372402,0.372854,0.371951,0.371963,0.372067,0.372379,0.372321,0.372449,0.372229,0.372726,0.372576,0.372692,0.372750,0.372472,0.372738,0.372669,0.372912,0.372912,0.372703,0.372807,0.372657,0.372981,0.372784,0.372900,0.372935,0.372981
classic,1e-05,16,val_loss,0.463729,0.463409,0.463383,0.456178,0.452750,0.452750,0.452734,0.452731,0.452731,0.452741,0.452739,0.452721,0.452734,0.452721,0.452717,0.452724,0.452714,0.452727,0.452719,0.452711,0.452710,0.452719,0.452717,0.452710,0.452705,0.452709,0.451429,0.451494,0.451370,0.451348,0.451342,0.451366,0.451336,0.451337,0.451345,0.451339,0.451340,0.451333,0.451325,0.451323,0.451341,0.451323,0.451319,0.451328,0.451326,0.451325,0.451338,0.451319,0.451323,0.451413
classic,1e-05,16,val_accuracy,0.349149,0.349565,0.349473,0.359138,0.364179,0.364317,0.364179,0.364179,0.364271,0.364225,0.364225,0.364317,0.364132,0.364456,0.364595,0.364595,0.364317,0.364225,0.364641,0.364595,0.364780,0.364225,0.364317,0.364410,0.364641,0.364549,0.364225,0.364364,0.363994,0.364410,0.364502,0.364364,0.364549,0.364456,0.364641,0.364410,0.364641,0.364595,0.364641,0.364595,0.364364,0.364780,0.364641,0.364687,0.364734,0.364919,0.364734,0.364826,0.364780,0.362884
classic,1e-06,16,loss,0.458883,0.429949,0.387654,0.367962,0.359326,0.356340,0.354690,0.353587,0.352785,0.352128,0.351513,0.350824,0.349922,0.348768,0.347693,0.346881,0.346252,0.345741,0.345311,0.344936,0.344618,0.344348,0.344102,0.343891,0.343680,0.343462,0.343225,0.342944,0.342593,0.342099,0.341277,0.339530,0.324134,0.305987,0.304534,0.303652,0.303031,0.302573,0.302202,0.301896,0.301637,0.301416,0.301218,0.301046,0.300886,0.300734,0.300601,0.300472,0.300356,0.300243
classic,1e-06,16,accuracy,0.341683,0.338258,0.308592,0.314389,0.328389,0.330437,0.332439,0.333642,0.334810,0.336002,0.337159,0.337772,0.338999,0.339045,0.338675,0.339115,0.339092,0.340260,0.341649,0.342354,0.344101,0.344761,0.346242,0.345872,0.346520,0.348024,0.348822,0.348787,0.349725,0.350569,0.350477,0.351148,0.358541,0.352490,0.359189,0.362475,0.365021,0.366166,0.368353,0.370597,0.372564,0.374821,0.376117,0.377088,0.378974,0.380074,0.381601,0.383336,0.385107,0.387536
classic,1e-06,16,val_loss,0.453741,0.403236,0.377042,0.363243,0.358765,0.356637,0.355293,0.354331,0.353602,0.352954,0.352322,0.351540,0.350481,0.349279,0.348324,0.347612,0.347054,0.346586,0.346189,0.345847,0.345566,0.345308,0.345097,0.344890,0.344674,0.344458,0.344201,0.343898,0.343496,0.342883,0.341773,0.338805,0.307514,0.305426,0.304311,0.303590,0.303081,0.302690,0.302355,0.302089,0.301859,0.301657,0.301485,0.301340,0.301181,0.301045,0.300920,0.300798,0.300692,0.300586
classic,1e-06,16,val_accuracy,0.332963,0.327969,0.307945,0.328478,0.331206,0.337773,0.335969,0.337079,0.335276,0.339345,0.337403,0.338883,0.338235,0.342860,0.340594,0.341380,0.339160,0.342490,0.341334,0.343276,0.340085,0.344432,0.342212,0.349334,0.347022,0.349519,0.345681,0.348594,0.349473,0.349195,0.348039,0.349195,0.345311,0.357196,0.361219,0.366583,0.367185,0.368526,0.369543,0.372179,0.374723,0.374491,0.376665,0.377358,0.378052,0.379809,0.382029,0.382168,0.386053,0.385636
classic,1e-07,16,loss,0.462668,0.462599,0.462557,0.462533,0.462520,0.462513,0.462508,0.462506,0.462504,0.462502,0.462500,0.462499,0.462497,0.462496,0.462494,0.462492,0.462490,0.462488,0.462484,0.462479,0.462472,0.462458,0.462430,0.462353,0.462099,0.461521,0.460886,0.460597,0.460535,0.460524,0.460521,0.460520,0.460519,0.460518,0.460517,0.460516,0.460515,0.460515,0.460514,0.460513,0.460512,0.460510,0.460509,0.460508,0.460507,0.460506,0.460504,0.460503,0.460501,0.460500
classic,1e-07,16,accuracy,0.356227,0.356702,0.357083,0.357211,0.357396,0.357500,0.357546,0.357569,0.357569,0.357592,0.357604,0.357604,0.357627,0.357639,0.357639,0.357650,0.357662,0.357697,0.357697,0.357697,0.357708,0.357685,0.357697,0.357720,0.357685,0.357627,0.357604,0.357616,0.357627,0.357673,0.357650,0.357708,0.357708,0.357708,0.357697,0.357720,0.357720,0.357720,0.357720,0.357708,0.357720,0.357720,0.357708,0.357708,0.357720,0.357731,0.357720,0.357731,0.357766,0.357731
classic,1e-07,16,val_loss,0.464011,0.463955,0.463921,0.463902,0.463892,0.463886,0.463883,0.463880,0.463878,0.463876,0.463875,0.463873,0.463872,0.463871,0.463869,0.463867,0.463865,0.463862,0.463858,0.463853,0.463843,0.463826,0.463784,0.463659,0.463257,0.462612,0.462163,0.462045,0.462028,0.462025,0.462024,0.462023,0.462023,0.462022,0.462021,0.462020,0.462019,0.462018,0.462018,0.462017,0.462015,0.462015,0.462014,0.462012,0.462011,0.462010,0.462009,0.462007,0.462005,0.462004
classic,1e-07,16,val_accuracy,0.348409,0.348779,0.349103,0.349195,0.349288,0.349380,0.349380,0.349427,0.349427,0.349519,0.349519,0.349519,0.349519,0.349565,0.349565,0.349565,0.349565,0.349612,0.349612,0.349612,0.349612,0.349565,0.349565,0.349565,0.349565,0.349519,0.349380,0.349427,0.349519,0.349519,0.349473,0.349519,0.349519,0.349519,0.349473,0.349473,0.349473,0.349473,0.349473,0.349473,0.349473,0.349473,0.349473,0.349473,0.349473,0.349473,0.349473,0.349519,0.349519,0.349519
classic,1e-08,16,loss,0.487174,0.487173,0.487173,0.487172,0.487172,0.487171,0.487171,0.487170,0.487169,0.487169,0.487168,0.487167,0.487166,0.487166,0.487165,0.487164,0.487163,0.487162,0.487161,0.487160,0.487159,0.487157,0.487156,0.487155,0.487154,0.487153,0.487151,0.487150,0.487148,0.487147,0.487145,0.487144,0.487142,0.487140,0.487138,0.487137,0.487135,0.487133,0.487131,0.487128,0.487126,0.487124,0.487122,0.487119,0.487117,0.487114,0.487111,0.487109,0.487106,0.487103
classic,1e-08,16,accuracy,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903
classic,1e-08,16,val_loss,0.490361,0.490361,0.490360,0.490360,0.490359,0.490359,0.490358,0.490357,0.490357,0.490356,0.490355,0.490355,0.490354,0.490353,0.490352,0.490351,0.490350,0.490349,0.490348,0.490347,0.490346,0.490345,0.490343,0.490342,0.490341,0.490340,0.490338,0.490337,0.490335,0.490334,0.490332,0.490331,0.490329,0.490327,0.490325,0.490323,0.490321,0.490319,0.490317,0.490315,0.490313,0.490310,0.490308,0.490306,0.490303,0.490300,0.490298,0.490295,0.490292,0.490289
classic,1e-08,16,val_accuracy,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613
classic,1e-09,16,loss,0.464228,0.464227,0.464227,0.464226,0.464226,0.464225,0.464225,0.464225,0.464224,0.464224,0.464223,0.464223,0.464222,0.464222,0.464221,0.464221,0.464220,0.464220,0.464219,0.464219,0.464218,0.464218,0.464218,0.464217,0.464217,0.464216,0.464216,0.464215,0.464215,0.464214,0.464214,0.464214,0.464213,0.464213,0.464212,0.464212,0.464211,0.464211,0.464210,0.464210,0.464210,0.464209,0.464209,0.464208,0.464208,0.464207,0.464207,0.464206,0.464206,0.464205
classic,1e-09,16,accuracy,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304,0.296304
classic,1e-09,16,val_loss,0.463176,0.463176,0.463175,0.463175,0.463174,0.463174,0.463173,0.463173,0.463172,0.463172,0.463172,0.463171,0.463171,0.463170,0.463170,0.463169,0.463169,0.463168,0.463168,0.463167,0.463167,0.463166,0.463166,0.463165,0.463165,0.463165,0.463164,0.463164,0.463163,0.463163,0.463162,0.463162,0.463161,0.463161,0.463160,0.463160,0.463160,0.463159,0.463159,0.463158,0.463158,0.463157,0.463157,0.463156,0.463156,0.463155,0.463155,0.463155,0.463154,0.463154
classic,1e-09,16,val_accuracy,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644,0.303644
original,0.1,16,loss,0.486215,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192,0.487192
original,0.1,16,accuracy,0.141829,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903,0.140903
original,0.1,16,val_loss,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380,0.490380
original,0.1,16,val_accuracy,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613,0.139613
original,0.01,16,loss,0.287278,0.279145,0.278936,0.278838,0.278918,0.278822,0.278812,0.278699,0.278610,0.278551,0.278768,0.278717,0.278690,0.278660,0.279162,0.278869,0.278783,0.278699,0.278748,0.278701,0.278728,0.278725,0.278689,0.278756,0.278661,0.278630,0.278832,0.278952,0.279010,0.279013,0.278810,0.278831,0.278806,0.278729,0.278745,0.278879,0.278791,0.278778,0.278693,0.278846,0.279192,0.278918,0.278814,0.278909,0.278686,0.278730,0.278644,0.278603,0.278657,0.278750
original,0.01,16,accuracy,0.377389,0.393692,0.395103,0.396087,0.396041,0.396527,0.396515,0.398308,0.397626,0.397684,0.397094,0.396862,0.396735,0.397475,0.394999,0.394074,0.396816,0.396920,0.396376,0.396446,0.396469,0.396145,0.397082,0.396388,0.395682,0.396492,0.395890,0.395763,0.393449,0.393912,0.395636,0.395427,0.395775,0.397244,0.396098,0.396110,0.395717,0.396376,0.396955,0.396353,0.395786,0.395925,0.395809,0.394664,0.397313,0.395740,0.397232,0.397730,0.396874,0.395636
original,0.01,16,val_loss,0.285243,0.281357,0.279987,0.279960,0.279951,0.280523,0.279821,0.279765,0.279760,0.279779,0.279778,0.279874,0.280057,0.280057,0.289030,0.279967,0.280246,0.279907,0.279893,0.279967,0.279968,0.279927,0.279777,0.280042,0.279966,0.280042,0.280061,0.297444,0.288041,0.280064,0.280116,0.279941,0.280010,0.280115,0.288007,0.280488,0.279952,0.280194,0.279841,0.282255,0.279963,0.279854,0.279784,0.279802,0.280156,0.279795,0.279752,0.279822,0.279957,0.280825
original,0.01,16,val_accuracy,0.370930,0.385498,0.387717,0.386145,0.385544,0.382908,0.387162,0.388365,0.388966,0.388411,0.388689,0.386330,0.387255,0.387394,0.350583,0.386839,0.384434,0.387717,0.388134,0.384943,0.386376,0.386422,0.388134,0.386006,0.387024,0.384388,0.388457,0.349242,0.363670,0.386469,0.384249,0.383925,0.385636,0.387486,0.366676,0.384110,0.386053,0.385683,0.387671,0.373844,0.384943,0.388180,0.387162,0.387209,0.387116,0.388550,0.388689,0.389382,0.388781,0.384156
original,0.001,16,loss,0.296861,0.280459,0.279280,0.278833,0.278609,0.278394,0.278113,0.277910,0.277662,0.277518,0.277512,0.277366,0.277167,0.276949,0.276999,0.276657,0.276332,0.275994,0.275666,0.275472,0.275412,0.275157,0.274797,0.274518,0.274363,0.274081,0.274011,0.273829,0.273658,0.273471,0.273195,0.273011,0.272887,0.272620,0.272506,0.272367,0.272172,0.272001,0.271964,0.271669,0.271415,0.271388,0.271203,0.271077,0.270991,0.270834,0.270767,0.270563,0.270479,0.270278
original,0.001,16,accuracy,0.288425,0.384470,0.396422,0.398841,0.399280,0.401618,0.403804,0.406743,0.408907,0.410619,0.411232,0.410770,0.411198,0.410943,0.409150,0.409520,0.407761,0.408849,0.408074,0.406824,0.394768,0.397094,0.400970,0.405563,0.401108,0.407542,0.409046,0.411209,0.415409,0.419933,0.422861,0.429409,0.429120,0.435831,0.440378,0.440031,0.449993,0.451891,0.453129,0.454471,0.461297,0.465000,0.469350,0.471954,0.474765,0.478514,0.479914,0.484600,0.487076,0.489101
original,0.001,16,val_loss,0.289167,0.288818,0.287235,0.281703,0.280199,0.280063,0.279472,0.279021,0.278888,0.278869,0.278900,0.278965,0.278828,0.278651,0.278412,0.278169,0.277905,0.277776,0.277353,0.277582,0.277508,0.277176,0.277078,0.277165,0.277060,0.276938,0.276833,0.277502,0.276751,0.276803,0.276662,0.276653,0.276882,0.276625,0.276742,0.276592,0.276483,0.276629,0.276410,0.276334,0.276322,0.276620,0.276238,0.276239,0.276285,0.276094,0.276266,0.276277,0.276394,0.276302
